,loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),label
292,2024-04-17T12:59:36.767+02:00,126117.866632,-1.490264892578125,0.9569854736328124,-1.380950927734375,126117.836698,-0.9614476543809826,-0.438640429376333,0.6138280715885006,4.854085445404053,0.3540924191474915,-1.03611171245575,0.1771949231624603,1.064877271652222,0.3730720281600952,XArbitraryZVertical,0.1655536874862465,-0.320252138312197,-0.4885337666418609,0.7945850179465085,-0.3471779823303223,-0.5760009288787842,-0.7400611042976379,0,0,0,-1,-1,126113.940316875,walking,2,2024-04-17T12:59:32.839+02:00,,0,0,0,0,0,0,0,,735044375.4529403,0,-1.16,99.67204,
293,2024-04-17T12:59:36.802+02:00,126117.901555,-1.996078491210938,0.8744659423828125,-0.8547821044921875,126117.896566,-0.8852352405027506,-0.475588030641005,0.8747805929492397,2.265053272247314,0.9867448806762696,-0.5473333597183228,-1.819243550300598,1.71967339515686,-0.5347251892089844,XArbitraryZVertical,0.2805938704427652,-0.3691361906910952,-0.4672299412407072,0.7527959938913404,-0.2935647666454315,-0.7674028277397156,-0.5700110793113708,0,0,0,-1,-1,126113.940316875,walking,2,2024-04-17T12:59:32.839+02:00,,0,0,0,0,0,0,0,,735044375.4529403,0,-1.16,99.67204,
294,2024-04-17T12:59:36.837+02:00,126117.936478,-1.518890380859375,0.6002349853515625,-0.48809814453125,126117.896566,-0.8852352405027506,-0.475588030641005,0.8747805929492397,2.265053272247314,0.9867448806762696,-0.5473333597183228,-1.819243550300598,1.71967339515686,-0.5347251892089844,XArbitraryZVertical,0.2805938704427652,-0.3691361906910952,-0.4672299412407072,0.7527959938913404,-0.2935647666454315,-0.7674028277397156,-0.5700110793113708,0,0,0,-1,-1,126113.940316875,walking,2,2024-04-17T12:59:32.839+02:00,,0,0,0,0,0,0,0,,735044375.4529403,0,-1.16,99.67204,
295,2024-04-17T12:59:36.872+02:00,126117.9714,-0.9671630859375,0.3754119873046875,-0.2708892822265625,126117.956433,-0.8700228773104361,-0.3654626477007678,0.8512142749912589,-1.081438422203064,2.629312753677368,1.106175661087036,-1.037287712097168,1.38625168800354,0.1849110126495361,XArbitraryZVertical,0.2984399985828394,-0.3211873611322338,-0.4454730563934701,0.7805934583830121,-0.2355395555496216,-0.7520812749862671,-0.6155444979667664,0,0,0,-1,-1,126113.940316875,walking,2,2024-04-17T12:59:32.839+02:00,,0,0,0,0,0,0,0,,735044375.4529403,0,-1.16,99.67204,
296,2024-04-17T12:59:36.907+02:00,126118.006323,-0.8144989013671875,0.5272064208984375,-0.0751953125,126117.956433,-0.8700228773104361,-0.3654626477007678,0.8512142749912589,-1.081438422203064,2.629312753677368,1.106175661087036,-1.037287712097168,1.38625168800354,0.1849110126495361,XArbitraryZVertical,0.2984399985828394,-0.3211873611322338,-0.4454730563934701,0.7805934583830121,-0.2355395555496216,-0.7520812749862671,-0.6155444979667664,0,0,0,-1,-1,126113.940316875,walking,2,2024-04-17T12:59:32.839+02:00,,0,0,0,0,0,0,0,,735044375.4529403,0,-1.16,99.67204,
297,2024-04-17T12:59:36.942+02:00,126118.041246,-0.5854339599609375,0.11016845703125,-0.1163482666015625,126118.016301,-0.7536061083684792,-0.3177790547327399,0.7634707156597841,-0.8085834383964539,1.686972379684448,2.256029605865479,-0.5441502332687378,1.161128997802734,0.6136375069618225,XArbitraryZVertical,0.2880062848525718,-0.2718781160352815,-0.3919707459157077,0.8303576687450575,-0.2257320731878281,-0.6914330124855042,-0.6862693428993225,0,0,0,-1,-1,126113.940316875,walking,2,2024-04-17T12:59:32.839+02:00,,0,0,0,0,0,0,0,,735044375.4529403,0,-1.16,99.67204,
298,2024-04-17T12:59:36.977+02:00,126118.076168,-0.4172515869140625,-0.091583251953125,-0.4921112060546875,126118.016301,-0.7536061083684792,-0.3177790547327399,0.7634707156597841,-0.8085834383964539,1.686972379684448,2.256029605865479,-0.5441502332687378,1.161128997802734,0.6136375069618225,XArbitraryZVertical,0.2880062848525718,-0.2718781160352815,-0.3919707459157077,0.8303576687450575,-0.2257320731878281,-0.6914330124855042,-0.6862693428993225,0,0,0,-1,-1,126113.940316875,walking,2,2024-04-17T12:59:32.839+02:00,,0,0,0,0,0,0,0,,735044375.4529403,0,-1.16,99.67204,
299,2024-04-17T12:59:37.012+02:00,126118.111091,-0.3037261962890625,-0.155303955078125,-0.6429901123046875,126118.076168,-0.638941042653047,-0.3441526343953214,0.6039515165676254,-2.937479734420776,0.0190200991928577,2.036973714828491,-0.1603521406650543,0.4943520426750183,0.3436653017997742,XArbitraryZVertical,0.2268455365341539,-0.2472340058607093,-0.3437722054973025,0.8770616145056266,-0.2777125239372253,-0.5678994059562683,-0.7748329043388367,0,0,0,-1,-1,126113.940316875,walking,2,2024-04-17T12:59:32.839+02:00,,0,0,0,0,0,0,0,,735044375.4529403,0,-1.16,99.67204,
300,2024-04-17T12:59:37.046+02:00,126118.146014,-0.266632080078125,-0.232330322265625,-1.02435302734375,126118.136036,-0.6030446248161416,-0.3681028509963288,0.3967220176056859,-3.468328475952148,-0.2833413779735565,1.290799498558044,0.0521429479122161,0.1687457263469696,0.0636720657348632,XArbitraryZVertical,0.1317094958894122,-0.2288647479363922,-0.3206715111289873,0.9096391382576726,-0.3318977057933807,-0.3863970339298248,-0.8605470657348633,0,0,0,-1,-1,126113.940316875,walking,2,2024-04-17T12:59:32.839+02:00,,0,0,0,0,0,0,0,,735044375.4529403,0,-1.16,99.67204,
301,2024-04-17T12:59:37.081+02:00,126118.180937,-0.253082275390625,-0.1396484375,-1.14892578125,126118.136036,-0.6030446248161416,-0.3681028509963288,0.3967220176056859,-3.468328475952148,-0.2833413779735565,1.290799498558044,0.0521429479122161,0.1687457263469696,0.0636720657348632,XArbitraryZVertical,0.1317094958894122,-0.2288647479363922,-0.3206715111289873,0.9096391382576726,-0.3318977057933807,-0.3863970339298248,-0.8605470657348633,0,0,0,-1,-1,126113.940316875,walking,2,2024-04-17T12:59:32.839+02:00,,0,0,0,0,0,0,0,,735044375.4529403,0,-1.16,99.67204,
