loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2024-05-28T12:34:16.670+02:00,21769.84157741667,-0.0834197998046875,-0.1190643310546875,-0.98175048828125
2024-05-28T12:34:16.687+02:00,21769.85153941667,-0.0826416015625,-0.113983154296875,-0.9889068603515625
2024-05-28T12:34:16.690+02:00,21769.86150241667,-0.08123779296875,-0.115936279296875,-0.9862060546875
2024-05-28T12:34:16.700+02:00,21769.87146441667,-0.0826263427734375,-0.1262969970703125,-0.9879608154296875
2024-05-28T12:34:16.709+02:00,21769.88142641667,-0.0824737548828125,-0.1378021240234375,-0.9797515869140625
2024-05-28T12:34:16.719+02:00,21769.89138841667,-0.0880126953125,-0.1508941650390625,-0.97833251953125
2024-05-28T12:34:16.729+02:00,21769.90135141667,-0.0904388427734375,-0.1562652587890625,-0.972503662109375
2024-05-28T12:34:16.739+02:00,21769.91131341667,-0.09283447265625,-0.1577301025390625,-0.9710540771484375
2024-05-28T12:34:16.749+02:00,21769.92127541667,-0.0936279296875,-0.154754638671875,-0.978790283203125
2024-05-28T12:34:16.759+02:00,21769.93123741667,-0.0933685302734375,-0.1471099853515625,-0.9884490966796875
2024-05-28T12:34:16.769+02:00,21769.94120041667,-0.0941314697265625,-0.134063720703125,-0.989501953125
2024-05-28T12:34:16.779+02:00,21769.95116241667,-0.0959625244140625,-0.1254730224609375,-0.9962005615234375
2024-05-28T12:34:16.789+02:00,21769.96112441667,-0.09527587890625,-0.12115478515625,-1.000717163085938
2024-05-28T12:34:16.799+02:00,21769.97108741667,-0.09393310546875,-0.12542724609375,-1.002456665039062
2024-05-28T12:34:16.809+02:00,21769.98104941667,-0.09246826171875,-0.1334686279296875,-1.006759643554688
2024-05-28T12:34:16.819+02:00,21769.99101141667,-0.090362548828125,-0.134429931640625,-0.9944305419921875
2024-05-28T12:34:16.829+02:00,21770.00097341667,-0.0953521728515625,-0.13482666015625,-0.9915771484375
2024-05-28T12:34:16.839+02:00,21770.01093641667,-0.0972442626953125,-0.1411590576171875,-0.997314453125
2024-05-28T12:34:16.849+02:00,21770.02089841667,-0.0990142822265625,-0.1522216796875,-0.9943695068359375
2024-05-28T12:34:16.859+02:00,21770.03086041667,-0.1002960205078125,-0.1654510498046875,-0.9864501953125
2024-05-28T12:34:16.869+02:00,21770.04082341667,-0.1015777587890625,-0.1767578125,-0.9780426025390625
2024-05-28T12:34:16.879+02:00,21770.05078541667,-0.1009979248046875,-0.1806793212890625,-0.9744110107421875
